Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
T. Brady,NE,1,1595,1,1621,2,27.8%,3,28.5%,4,67.4,617,4366,1,5468,32,3,3,8,66.4%,12/287,4,2.9
P.  Rivers,LAC,2,1412,2,1505,4,26.1%,1,28.6%,13,57.4,594,4342,2,4975,28,6,1,9,63.3%,16/231,21,0.9
D. Brees,NO,3,1390,3,1402,3,27.4%,4,27.7%,11,59.0,555,4171,4,4794,23,3,0,8,72.6%,3/12,34,-0.2
C. Keenum,MIN,4,1293,4,1307,1,28.1%,2,28.5%,3,69.7,503,3403,6,4420,22,0,1,7,67.6%,14/284,27,0.4
B. Roethlisberger,PIT,5,1270,5,1247,8,21.8%,7,21.2%,7,63.2,580,4112,3,4834,28,2,1,14,64.6%,14/299,6,2.4
J. Goff,LAR,6,1125,8,1041,5,24.0%,6,21.3%,18,52.0,500,3619,9,4090,28,5,2,7,62.6%,8/161,30,0.2
M. Ryan,ATL,7,1084,6,1076,9,19.1%,10,18.9%,6,63.7,552,3917,7,4360,20,1,2,12,65.1%,6/76,20,1.2
C. Wentz,PHI,8,1047,9,934,6,23.8%,8,20.0%,2,75.9,471,3100,10,3837,33,4,2,7,60.5%,7/181,2,3.7
A. Smith,KC,9,1026,7,1071,10,18.3%,9,19.6%,10,61.6,541,3840,8,4203,26,1,1,5,67.7%,4/46,23,0.7
M. Stafford,DET,10,1004,10,913,11,14.9%,11,12.5%,9,61.7,613,4149,5,4485,29,5,5,10,65.8%,9/193,10,2.1
J. Winston,TB,11,779,12,684,12,14.3%,12,11.2%,20,48.2,474,3288,14,3522,19,2,7,11,64.2%,5/90,3,3.2
D. Carr,OAK,12,709,11,721,13,9.7%,13,10.0%,22,46.7,534,3399,12,3692,22,2,2,11,62.8%,10/213,16,1.4
R. Wilson,SEA,13,530,14,564,15,2.9%,17,3.8%,12,58.3,598,3586,11,3762,34,6,4,11,62.5%,9/134,15,1.5
D. Watson,HOU,14,497,15,529,7,23.1%,5,25.2%,1,81.3,221,1583,27,1851,19,1,1,6,62.4%,8/173,11,2.1
B. Bortles,JAX,15,408,13,597,16,0.3%,15,5.7%,14,55.6,547,3552,15,3417,21,4,3,13,60.3%,9/153,22,0.7
K. Cousins,WAS,16,395,17,318,18,-0.6%,21,-2.7%,17,52.3,586,3709,13,3565,27,6,4,13,64.6%,6/113,24,0.7
D. Prescott,DAL,17,375,16,322,17,-0.2%,18,-1.7%,5,66.7,520,3139,17,3257,22,1,3,13,63.1%,10/193,26,0.5
A. Rodgers,GB,18,334,18,308,14,7.8%,14,6.3%,8,62.6,259,1513,26,1872,16,0,1,6,65.0%,6/65,1,3.9
M. Mariota,TEN,19,236,21,262,20,-3.3%,20,-2.4%,15,54.9,479,3059,20,2745,13,0,0,15,62.2%,3/42,7,2.3
C.  Palmer,ARI,20,145,19,276,19,-3.2%,16,3.9%,23,46.3,289,1828,28,1666,10,0,0,7,61.4%,7/97,29,0.3
C. Newton,CAR,21,141,22,197,21,-6.9%,22,-5.2%,21,47.7,525,3059,19,2872,22,4,0,15,59.5%,8/117,5,2.5
T. Taylor,BUF,22,121,20,263,22,-7.0%,19,-2.1%,16,52.7,467,2540,22,2503,14,1,2,4,62.7%,5/103,19,1.2
